EmplID,LastName,FirstName,Email
010000001,Doe,Jane,jd01@humboldt.edu
010000002,Doe,Jane,jd02@humboldt.edu
010000003,Doe,Jane,jd03@humboldt.edu
010000004,Doe,Jane,jd04@humboldt.edu
010000005,Doe,Jane,jd05@humboldt.edu
010000006,Doe,Jane,jd06@humboldt.edu
010000007,Doe,Jane,jd07@humboldt.edu
010000008,Doe,Jane,jd08@humboldt.edu
010000009,Doe,Jane,jd09@humboldt.edu
010000010,Doe,Jane,jd10@humboldt.edu
010000011,Doe,Jane,jd11@humboldt.edu
010000012,Doe,Jane,jd12@humboldt.edu
010000013,Doe,Jane,jd13@humboldt.edu
010000014,Doe,Jane,jd14@humboldt.edu
010000015,Doe,Jane,jd15@humboldt.edu
010000016,Doe,Jane,jd16@humboldt.edu
010000017,Doe,Jane,jd17@humboldt.edu
010000018,Doe,Jane,jd18@humboldt.edu
010000019,Doe,Jane,jd19@humboldt.edu
010000020,Doe,Jane,jd20@humboldt.edu
